OBJECTID,Project_Na,Promoter_N,Project_Ty,Category,Commission,Share_of_t,Location,Increment,Peak_Incre,Descriptio,Website,Shape__Length,PCI_PMI,country,,
197,Agenda H2 Green Valley (transmission),"Led by REN Gas, with the participation of REN Gasodutos, Floene, Bosch, Hylab, IST and INL",New,Transmission,2025,100,Sines area,No data available,No data available,"100% H2 transmission (new) project in Sines area. It will connect several Production and H2 consumption projects, totalizing until 2028 around 40000 ton/y. Main consuming is from industry sector (refinery and green ammonia). Agenda also will develop a pi",No data available,13287.16318,No,PT,,
198,HySoW Atlantic to Mediterranean,Terega SA,Mix,Transmission,2032,100,Cruzy-Narbonne-Lussagnet-Estibeaux-Dax-Lacq,No data available,No data available,TYNDP project H2T-A-444,https://www.terega.fr/en/hysow-hyrogen-south-west-corridor-of-france-un-projet-dinfrastructures-de,273422.2314,PCI,FR,,
199,HySoW Spain to Castillon,Terega SA,Mix,Transmission,2039/2041,100,Biriatou-Larrau-Lussagnet-Castillon,No data available,No data available,TYNDP project H2T-N-1217,https://www.terega.fr/en/hysow-hyrogen-south-west-corridor-of-france-un-projet-dinfrastructures-de,151973.2044,No,FR,,
200,National H2 Backbone,N.V. Nederlandse Gasunie,Mix,Transmission,2027 - 2032,100,Netherlands,No data available,No data available,"Existing natural gas network will be repurposed for H2-transport, with addition of new pipes in areas where connections are not yet available. Dutch H2 Backbone will connect on- and off-shore H2 sources with consumers in NL, DE & BE.",https://www.gasunie.nl/en & https://www.hynetwork.nl/en,2085273.479,PCI,NL,,
201,H2GZ AREA VIVEIRO - The Echo of the Tornado,H2GZ ENERGIZING,New,Transmission,2027,No data available,VIVEIRO - LUGO - SPAIN,No data available,No data available,"Development of a strategic hub in Viveiro (Galicia) for green hydrogen production, storage and distribution, integrating the disruptive “Echo of the Tornado” energy multiplier and an R&D&I laboratory.",No data available,5563.282047,No,PL,,
202,AtlantHYc (Phase 1),Natran,New,Transmission,2032,100,Phase 1 - Microgrid: Development of a local hub in Montoir de Bretagn to connect local producers and consumers.,No data available,No data available,"The project will foster the decarbonization of a major CO2-emission hub in France by connecting industrial consumers (refinery, chimical and petrocheminal sectors). A first phase in the area of St Nazaire would be commissionned in 2032 (microgrid)",No data available,119322.8764,No,FR,,
203,Le Havre - Chartres region,Natran,Mix,Transmission,2040,100,Le Havre - Chartres,No data available,No data available,"This project aims to develop a French H2 transmission network, via pipeline connected from Le Havre and Chartres. It will consist of existing assets converted from natural gas to Hydrogen and new pipelines",No data available,190814.9592,No,FR,,
204,Dunkerque - Paris region,Natran,Mix,Transmission,2040,100,Dunkerque - Paris region,No data available,No data available,"This project aims to develop a French H2 transmission network, via pipeline connected from Dunkerque and Paris region. It will consist of existing assets converted from natural gas to Hydrogen and new pipelines",https://www.natrangroupe.com/notre-transition-energetique/transport-hydrogene/corridor-franco-belge,282576.124,No,FR,,
205,Voisines - Paris region,Natran,Mix,Transmission,2040,100,Voisines (interconnection with HY-FEN project) to Paris Region,No data available,No data available,"This project aims to develop a French H2 transmission network, via pipeline connected from Voisines (HY-FEN) and Paris Region. It will consist of existing assets converted from natural gas to Hydrogen and new pipelines",No data available,404024.651,No,FR,,
206,Interconnection Castillon-Le Mans,Natran,New,Transmission,2041,100,From Castillon la Bataille (Terega) to Le Mans Region,189,189,"This project aims to develop a French H2 transmission network, via pipeline connected from Castillon la Bataille and Le Mans region. ",No data available,640145.1697,No,FR,,
207,MIDHY,Natran,New,Transmission,2032,100,Saint-Martin de Crau - Cruzy,67,No data available,"MidHY will link the production, import and consumption centers located in Occitanie with the H2Med project and the green hydrogen transit corridor between the Iberian Peninsula and northern Europe. As such it is a building block in the hydrogen corridor",No data available,234666.8892,PCI,FR,,
208,Connection HYFEN GeoH2,Natran,New,Transmission,2032,100,From Saint Martin de Crau to Manosque (storage),11.1,No data available,Develop hydrogen transmission pipeline connecting HY-FEN with Manosque and its underground storage GeoH2. Connection will strengthened the security of supply & flexibility of Iberia-France-Germany corridor thanks to GeoH2 storage in Manosque.,https://www.natrangroupe.com/en/our-energy-transition/hydrogen-transport/hynframed,102199.2165,PCI,FR,,
209,HY4Link - France,Natran,New,Transmission,2032,100,Luxembourg cross border to Thionville to Bouzonville to Cerville,41,41,"HY4Link will establish an integrated cross-border hydrogen transport system in the greater region, linking Wallonia in Belgium, Luxembourg, the Grand-Est region in France, and the federal state of Saarland in Germany.",https://www.natrangroupe.com/en/medias/press-releases/hy4link-hydrogen-infrastructure-project,159681.9571,PCI,FR,,
210,H2 offshore pipeline between Morocco and Spain,Enagás Infraestructuras de Hidrógeno,New,Transmission,2039,100,Spain /Morroco,No data available,No data available,H2 offshore pipeline between Morocco and Spain will be developed to link hydrogen production in Morocco with consumption in the North West Europe.  ,https://www.enagas.es/es/transicion-energetica/red-gasista/infraestructuras-energeticas/transporte-hidrogeno/ ,56097.36491,No,ES,,
211,H2 Irún (Enagás),Enagás Infraestructuras de Hidrógeno,New,Transmission,2039,100,Pipelines from Irún to french border,No data available,No data available,The project H2 Irún corresponds to a new H2 interconnection between Spain and France through the same route as the gas interconnection between Spain and France.,https://www.enagas.es/es/transicion-energetica/red-gasista/infraestructuras-energeticas/transporte-hidrogeno/,84862.43048,No,ES,,
212,H2 Larrau,Enagás Infraestructuras de Hidrógeno,New,Transmission,2041,100,Pipeline from El Villar de Arnedo to the border with France near Larrau,No data available,No data available,The project H2 Larrau corresponds to a new H2 interconnection between Spain and France through the same route as the gas interconnection between Spain and France,https://www.enagas.es/es/transicion-energetica/red-gasista/infraestructuras-energeticas/transporte-hidrogeno/,197596.596,No,ES,,
213,Hungarian-Slovenian hydrogen corridor,FGSZ Ltd.,New,Transmission,2030,100,Ősi-Nagykanizsa-Tornyiszentmiklós,30,30,Between Ősi-Nagykanizsa- Tornyiszentmiklós pipeline.,https://fgsz.hu/file/documents/2/2707/2023_12_20_husi_h2_corridor_hu.pdf,264321.9998,No,HU,,
214,IGB 3to5 Expansion & H2upgrade,ICGB AD,Mix,Transmission,No data available,Hydrogen blends,"Pipeline from Komotini, Greece to Stara Zagora, Bulgaria",No data available,No data available,"""IGB 3to5 Expansion & H2upgrade"" aims the upgrading of the IGB existing capacity from approximately 3 bcm/y to approximately 5 bcm/y, perceiving hydrogen readiness at the same time.",,211362.302,No,BG,,
215,Hybernia,Gas Networks Ireland,Conversion of existing infrastructure,Transmission,2032,100,"Interconnector 1 pipeline to Dublin, Galway, Limerick, Cork",6,6,The repurposing of Irish Transmission system to hydrogen ,No data available,1922818.529,No,IE,,
216,Apulia H2 Backbone,Snam  S.p.a.,Conversion of existing infrastructure,Transmission,2027,100,H2 transport pipeline from the Brindisi area to the Taranto area,8.6,10.1,"The project aims to establish a comprehensive H2 transport infrastructure, linking planned H2 generation sites in Apulia to key end-user districts, primarily in the steelmaking, refining and chemical sectors.",https://www.snam.it/it/i-nostri-business/trasporto/piani-decennali/piano-decennale-Snam-Rete-Gas/2023-2032.html,123657.424,No,IT,,
217,Connection Fiume Treste Livello F,Snam Rete Gas S.p.A.,New,Transmission,2029,100,Pipeline that connects the Italian backbone in the Vastogirardi area to the H2 storage in Fiume Treste,6,11.5,The project concerns the connection between the new UHS of Fiume Treste and the Italian H2 Backbone.,https://www.snam.it/it/i-nostri-business/trasporto/piani-decennali/piano-decennale-Snam-Rete-Gas/2023-2032.html,64906.20467,No,IT,,
218,Giurgiu Nădlac hydrogen corridor with new H2 interconnector,SNTGN Transgaz SA,New,Transmission,2029,100,A new hydrogen pipeline  along Giurgiu - Podișor - Bibești - Jupa - Horia - Nădlac corridor,100,100,A new hydrogen pipeline  along Giurgiu - Podișor - Bibești - Jupa - Horia - Nădlac corridor. This corridor can be included in the future European hydrogen,No data available,766943.0091,No,RO,,
219,New Hydrogen pipeline from Black Sea area to Podișor,SNTGN Transgaz SA,New,Transmission,2029,100,"Amzacea - Podisor
Black Sea - Amzacea",No data available,No data available,A new hydrogen pipeline  along Black Sea – Podișor corridor.,https://www.transgaz.ro/en,341341.7138,No,RO,,
222,H2 supply system Croatia - South (IAP),PLINACRO Ltd.,New,Transmission,2045,100,"Bosiljevo - Split
Pula - Rijeka
Rijeka - Karlovac
Zadar - Benkovac",40.5,No data available,"The project includes repurposing of 75 bar system north of Karlovac and the rest of the northern HR, enabling the receiving and transmission of H2 from and to the existing interconnections and larger urban centres.",https://www.plinacro.hr/default.aspx?id=246,316041.5145,No,HR,,
223,FLOW – making hydrogen happen (West) - New,GASCADE Gastransport GmbH and terranets bw,Conversion of existing infrastructure,Transmission,2030,100,"The project connects the Baltic Sea region with AT/FR, for H2 production, transmission and consumption. Mainly repurposed infrastructure is used to transport green H2 from on-/offshore production in the Baltic Sea region to Western EU Countries.",480,480,"FLOW (West) project route : from Radeland in eastern Germany down south to Rueckersdorf, where the route continues to the west to Reckrod, south via Lampertheim to end near Stuttgart, where it will be connected to neighbouring hydrogen transport projects",https://www.flow-hydrogen.com/,230700.8895,No,DE,,
224,FLOW – making hydrogen happen (West) - Connected projects,no data available,Mix,Transmission,2032,100,"The project connects the Baltic Sea region with AT/FR, for H2 production, transmission and consumption. Mainly repurposed infrastructure is used to transport green H2 from on-/offshore production in the Baltic Sea region to Western EU Countries.",480,480,"FLOW (West) project route : from Radeland in eastern Germany down south to Rueckersdorf, where the route continues to the west to Reckrod, south via Lampertheim to end near Stuttgart, where it will be connected to neighbouring hydrogen transport projects",https://www.flow-hydrogen.com/,409014.4966,No,DE,,
225,AtlantHYc (Phase 3),Natran,New,Transmission,2040,100,Phase 3 - offshore: scheduled for commissioning in 2032,No data available,No data available,"The project will foster the decarbonization of a major CO2-emission hub in France by connecting industrial consumers (refinery, chimical and petrocheminal sectors). A first phase in the area of St Nazaire would be commissionned in 2032 (microgrid)",No data available,213844.4184,No,FR,,
226,AtlantHYc (Phase 2),Natran,New,Transmission,2040,100,"Phase 2 - backbone: between Saint Nazaire and Ile de France, scheduled for commissioning in 2040",No data available,No data available,"The project will foster the decarbonization of a major CO2-emission hub in France by connecting industrial consumers (refinery, chimical and petrocheminal sectors). A first phase in the area of St Nazaire would be commissionned in 2032 (microgrid)",No data available,555129.5757,No,FR,,
227,Hydrogen Highway - Northern Section,GAZ-SYSTEM S.A.,Mix,Transmission,2039,100,No data available,No data available,No data available,The project involves the construction of a nation-wide H2 grid that connects supply sources such as wind farms in northern PL and on the Baltic Sea with consumption points and industrial clusters located in the South and in other parts of PL.,https://www.gaz-system.pl/en/,424792.1482,No,PL,,
229,Hyperlink 6 Bremen - Wolfsburg,"Gasunie Deutschland Transport Services GmbH, Thyssengas GmbH",New,Transmission,2029,100,Germany,No data available,No data available,The project shall enable the transport of hydrogen from the Energy Hub Wilhelmshaven and the norwegian CHE Pipeline to the Hyperlink Network and the German Ruhr Area. ,https://www.hyperlink-gasunie.de/en/about-hyperlink/hyperlink-5,293495.725,PCI,DE,,
231,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,92239.3582,No,IT,,
233,Italian H2 Backbone,Snam Rete Gas S.p.A.,Conversion of existing infrastructure,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",168,168,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,49782.68665,PCI,IT,,
234,Adjustment of existing eus pipeline SK-HU,"eustream, a.s.",Conversion of existing infrastructure,Transmission,2029,100,No data available,100,100,Adjustment of the line of the transmission system for transmission of 100% H2 between Slovakia and Hungary will create possibility for H2 transmisson in the North -South direction.,https://www.eustream.sk/en/,23765.30534,No,SK,,
235,"Czech H2 Backbone WEST (formerly Czech German Hydrogen Interconnector, Czech part)","NET4GAS, s.r.o.",Conversion of existing infrastructure,Transmission,2029,100,IP Deutschneudorf - VIP Waidhaus (the project uses shared infrastructure with the Czech H2 Backbone SOUTH project from Primda to VIP Waidhaus). Conversion of existing parallel infrastructure. Length: 163 km.,144,144,"Project will enable H2 import and export into/from CZ & efficient H2 transport from domestic producers to consumers within CZ. Project contributes within the framework of initiative CGHI as well as CEHC, SEEHyC and SunsHyne Corridor.","https://www.cghi.eu;
https://www.cehc.eu;
https://www.SEEHyC.eu:
https://www.SunsHyne.eu
",,PCI,CZ,,
236,"Czech H2 Backbone SOUTH (formerly Central European Hydrogen Corridor, Czech part)","NET4GAS, s.r.o.",Conversion of existing infrastructure,Transmission,2029,100,IP Lanzhot – VIP Waidhaus (project uses shared infrastructure with Czech H2 Backbone NORTH project from IP Lanzhot to Malesovice & with Czech H2 Backbone WEST from Primda to VIP Waidhaus). Conversion of existing parallel infrastructure. Lenght 381 km.,144,144,Project will enable H2 import to CZ and export to DE and efficient H2 transport from domestic producers to consumers within CZ.,"https://www.cehc.eu; 
https://www.sunshynecorridor.eu
",,No,CZ,,
237,Czech H2 Backbone NORTH,"NET4GAS, s.r.o.",Conversion of existing infrastructure,Transmission,2029,100,IP Lanzhot - IP Deutschneudorf (the project uses shared infrastructure with the Czech H2 Backbone SOUTH project from IP Lanzhot to Malesovice). Conversion of existing parallel infrastructure. Lenght : 403 km.,144,144,"Project will enable H2 import and export into/from CZ and efficient H2 transport from domestic producers to consumers within CZ. This project contributes to several initiatives: CEHC, SunsHyne Corridor and South-East European H2 Corridor.",https://www.net4gas.cz/en/projects/hydrogen-projects/,,PCI,CZ,,
239,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",No data available,No data available,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,,PCI,IT,,
244,North Africa H2 Corridor (onshore),SeaCorridor,Mix,Transmission,2029,No data available,Offshore pipeline from Mazara del Vallo to Cap Bon,No data available,No data available,"The project concerns the construction of dedicated H2 transport infrastructure to connect production in North Africa to the Italian H2 Backbone in 2 steps: 1st phase (2030) 213 GWh/d of exit capacity to Italy, enhanced in a 2nd phase (2035) to 448 GWh/d",https://www.south2corridor.net/,,No,UNKNOWN,,
246,Celtic Hydrogen Cluster,Gas Networks Ireland,Conversion of existing infrastructure,Transmission,2028,100,"Inch to Agaha, Whitegate to Midleton",533,533,Repurposing of 15 km of natural gas pipeline to hydrogen,No data available,,No,IE,,
247,Green Energy Park Krk d.o.o.,"Green Energy Park Global B.V.
",New,Transmission,2028,No data available,PIpeline Pula - Ravenna,No data available,No data available,Pipeline Pula - Ravenna,https://gep-krk.com/,,No,NL,,
248,UK-BE H2 Interconnector,"Fluxys, National Gas",New,Transmission,2045,No data available,Belgium - UK H2 Corridor,960,No data available,New bi-directional H2 offshore pipeline from UK to Belgium providing a physical link between the UK’s Project Union and the Belgian and North-West European hydrogen markets.,No data available,,PCI,BE/NL,,
249,HyBRIDS,SGI,New,Transmission,2029,No data available,Italy,No data available,No data available,"Società Chimica Bussi (""SCB""), a chemical company based in Bussi Sul Tirino (Pescara) - experimental project for the stable introduction of green hydrogen into the gas network. Hydrogen not injected into the grid will be transported to Torre DePasseri.",No data available,,No,IT,,
250,Baltic Sea Hydrogen Collector - tie-in to the Polish system,GAZ-SYSTEM S.A.,New,Transmission,2031,No data available,Poland,No data available,No data available,Onshore and offshore pipelines to connect Polish hydrogen system with Baltic Sea Hydrogen Collector. Ttie-in will enable delivery of hydrogen via the Baltic Sea Hydrogen Collector to off-takers located in Poland and Baltic Sea region and Central Europe.,No data available,,No,PL,,
251,Edesbüttel - Bobbau,GASCADE,New,Transmission,2030,No data available,Edelsbüttel - Bobbau,No data available,No data available,"The measure serves the interregional connection of consumption and generation centres, whereby the east-west connection in northern Germany in particular is sufficient in terms of capacity thanks to this pipeline.",https://fnb-gas.de/wasserstoffnetz-wasserstoff-kernnetz/,,No,DE,,
254,Western Interconnection BiH/CRO,BH Gas,New,Transmission,2031,100,Bosnia and Herzegovina,35,35,Western interconnection BiH/CRO (Trzac-Bosanska Krupa with branches to Bihac and Velika Kladusa) is the H2T project that together with the project Licka Jesenica - Rakovica located in Croatia will connect BiH with  Croatian H2T system,https://www.bh-gas.ba/,,No,BA,,
255,Southern Interconnection BiH/CRO,BH Gas,New,Transmission,2028,100,Bosnia and Herzegovina,40,40,"Southern Interconnection pipeline BIH/CRO (Posusje to Novi Travnik & from Posusje to Mostar with respective branches) is the new bi-directional project that will enable H2 supply by connecting to European H2 infrast., incl. connection with Krk & IAP H2T.",https://www.bh-gas.ba/,,No,BA,,
256,Northern Interconnection BiH/CRO ,BH Gas,New,Transmission,2030,100,Bosnia and Herzegovina,40,40,Northern Interconnection BiH/CRO (Brod-Zenica) is the new bi-directional project enabling H2 supply by connecting to Croatian&European H2 infrastructure. Along with Southern Interconnection BiH/CRO will create links in south-north direction through BiH.,https://www.bh-gas.ba/,,No,BA,,
257,Interconnection Croatia-Bosnia and Herzegovina (South) ,Plinacro,New,Transmission,2026,No data available,Croatia,80,No data available,South Interconnection of Croatia and B&H - the pipeline is a new H2 supply route for Bosnia and Herzegovina that will enable the reliable and diversifed H2 supply. The pipeline will enable the flow of IAP and Krk LH2T to Bosnia and Herzegovina.,https://www.plinacro.hr/,,No,HR,,
258,Interconnection Croatia-Bosnia and Herzegovina (West),Plinacro,New,Transmission,2028,No data available,Croatia,70,No data available,Interconn. Croatia/ B-H on route Licka Jesenica-Rakovica on the territory of Croatia to border with B-H. Bosnian part of the route starts on the border point near Trzac and continues to Bosanska Krupa with branches to Bihać and Velika Kladusa.,https://www.plinacro.hr/,,No,HR,,
259,Interconnection Croatia/Serbia (Slobodnica-Sotin-Bačko Novo Selo),Plinacro,New,Transmission,2030,No data available,Croatia,329,No data available,Project Slobodnica - Sotin (Croatia) - Bačko Novo Selo (Serbia) will enable connection of future Croatian and Serbian H2 transmission systems. First phase would be section Negoslavci-Sotin-Bačko Novo Selo together with planned pipeline Osijek-Vukovar. ,https://www.plinacro.hr/,,No,HR,,
261,Doing Hydrogen,ONTRAS Gastransport GmbH,New,Transmission,2028,No data available,Germany (The German hydrogen core grid process distinguishes between official project promoters & official contact parties for a hydrogen project. To get further insight please check the official website of FNB Gas),No data available,No data available,This project concerns the specific ONTRAS connection to the envisaged hydrogen storage in Rüdersdorf.,https://www.doinghydrogen.com/,,No,DE,,
263,H2ercules Network West,Open Grid Europe GmbH,New,Transmission,2028,100,This project relates to the west H2ercules section from the German-Belgian border (Eynatten) to demand centers in the Rhineland region.,cross-border: 91.2,cross-border: 91.2,With this network OGE can establish connections to Belgium via pipeline to connect import routes to demand centers in the western part of Germany.,https://www.h2ercules.com/en,,PCI,DE,,
265,H2ercules Network South-East,Open Grid Europe GmbH; NaTran Deutschland GmbH,Mix,Transmission,2032,100,This project relates to the southeast H2ercules section from the German-Czech border (Waidhaus) to Bavaria (Forchheim).,cross-border: 144,cross-border: 144,With this network OGE can establish connections to the Czech Republic via pipeline to connect import routes to demand centers in the southern part of Germany.,https://www.h2ercules.com/en,,PCI,DE,,
269,H2ercules Network North-West,Open Grid Europe GmbH,Mix,Transmission,2027 - 2031,100,This project relates to the northwest H2ercules section from the German-Dutch border to the Ruhr area.,cross-border: 76.8,cross-border: 76.8,With this network OGE can establish connections to the Netherlands via pipeline to connect import routes to demand centers in the Ruhr area.,https://www.h2ercules.com/en,,PCI,DE,,
272,H2ercules Network Central,Open Grid Europe GmbH,Mix,Transmission,2025 - 2032,100,"In combination with the H2ercules/DRC projects it builds a network of over 2,000km of pipelines with connections to five European countries (NOR, NL, BE, FR and CZ) ensuring a diversified supply of demand centers in southern and western Germany.",storages: 22.5,"storages: 32.5
","The H2ercules Central is the intermediate part of the OGE hydrogen grid linking all H2ercules projects and DRC. All together it builds connections to NOR, NL, BE, FR, CZ. It will also enable the connection of domestic green H2 production and H2 storages.",https://www.h2ercules.com/en,,No,DE,,
276,Delta Rhine Corridor (DRC) H2 Germany North,Open Grid Europe GmbH,Mix,Transmission,2030 - 2032,100,"Two stretches of new-built hydrogen pipelines have been identified as necessary, one between Rotterdam and Boxtel in the Netherlands and another one between Glehn and Cologne in Germany.",cross-border: 76.8,cross-border: 76.8,The DRC project consists of a H2 pipeline infrastructure connecting Rotterdam with major inland industry clusters in the NL+DE. Sufficient cross-border capacity at the border point Zevenaar/Elten can be made available via repurposed natural gas pipelines,https://delta-rhine-corridor.com/en,,PCI,DE,,
280,H2Poseidon Pipeline,IGI Poseidon,New,Transmission,2035,100,Greece - Italy,150,150,"Offshore/onshore system for ~300 km from Greek Ionian Coast to Apulia region, Italy, designed to allow bidirectional transportation of H2 between two connected systems, ensuring possibility to balance and strengthen the grid.",http://www.igi-poseidon.com/,,PCI,IT/GR,,
281,Ionian Energy Terminal – Pipeline,IGI Poseidon,New,Transmission,2032,100,"From the offshore location of the Ionian Terminal to Igoumenitsa, the starting point of the H2Poseidon Pipeline. The interconnection point could adapted considering the ongoing and future development activities.",50,50,"Offshore and onshore pipe to connect the Ionian Energy Terminal to the Igoumenitsa Interconnection Point. Thanks to this link, the Terminal will be able to feed the Greek national H2 grid and, through the H2Poseidon Pipeline, the Italian one.",http://www.igi-poseidon.com/,,PCI,IT/GR,,
282,Connection of DESFA's transmission system with East Med pipeline,DESFA SA,New,Transmission,2036,No data available,Hydrogen pipeline of approx. 262 km long. for the northern part of the project (Komnina - Florovouni) and approx. 143km long for Southern part of the project (Agioi Theodoroi -Megalopoli),210,No data available,Implementation of Metering & Regulating station at Megalopoli for future interconnection of Greek gas transmission system with East-Med pipeline as well as new Hydrogen pipeline of approx. 143 km long.,No data available,,PCI,GR,,
284,Italian H2 Backbone,Snam Rete Gas S.p.A.,Conversion of existing infrastructure,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",No data available,No data available,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,,PCI,IT,,
285,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",No data available,No data available,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,,PCI,IT,,
286,Italian H2 Backbone,Snam Rete Gas S.p.A.,New,Transmission,2029,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",No data available,No data available,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,,PCI,IT,,
287,Project Union,National Gas Transmission,Mix,Transmission,2032,100,"Pipeline connecting UK industrial clusters at Teesside, Humberside & Grangemouth & linking up Southampton, the North West and South Wales. Connecting strategic H2 production sites, incl. St Fergus, storage sites and Bacton, connecting UK H2 to EU network",No data available,No data available,"Repurpose existing gas transmission pipelines & build new pipelines to create a hydrogen ‘backbone’ for the UK, enabling a low-cost route to net zero, supporting growth of UK’s hydrogen economy and decarbonisation of power generation & major industries",https://www.nationalgas.com/future-energy/hydrogen/project-union,,PMI,IE,,
295,Italian H2 Backbone,Snam Rete Gas S.p.A.,Conversion of existing infrastructure,Transmission,2034,No data available,"Italy, from the entry point in Sicily up to north with interconnection to Austria and Switzerland.",448,448,Dedicated H2 IT backbone to link import&production to IT/EU demand in 2 steps: 1st phase (2030) 213 GWh/d entry from N.Africa and 168 GWh/d exit to AT; 2nd phase (2035) entry from N.Africa up to 448 GWh/d and 88 GWh/d exit to CH (max. AT+CH to 200 GWh/d),https://www.snam.it/en/our-businesses/transportation/ten-year-plans/piano-decennale-Snam-Rete-Gas/2023-2032.html,,PCI,IT,,
329,Finnish national hydrogen infrastructure,Gasgrid Vetyverkot Oy,New,Transmission,2030,100,No data available,200,200,"Finland hydrogen infrastructure will be used to promote the development of the infrastructure with industrial operators, project developers, and municipalities, among others, meeting the needs of operators and an open hydrogen market by the early 2030s.",https://gasgrid.fi/en/development/participation-in-developing-the-national-hydrogen-infrastructure/,,No,FI,,
333,Nordic-Baltic Hydrogen Corridor (NBHC) - FI section,Gasgrid Vetyverkot Oy,New,Transmission,2033,100,No data available,200,200,"The aim is to create H2 corridor from Finland to Germany via Estonia, Latvia, Lithuania and Poland. The project foresees the transport of green H2 from Baltic Sea countries to industrial clusters along the corridor and to Central Europe.",https://gasgrid.fi/en/development/participation-in-developing-the-national-hydrogen-infrastructure/,,PCI,FI,,
334,Nordic Hydrogen Route (NHR) - Bothnian Bay - Finnish section,Gasgrid Vetyverkot Oy,New,Transmission,2030,100,No data available,162,162,The Nordic Hydrogen Route is an initiative between Gasgrid and Nordion Energi to accelerate the creation of a hydrogen economy by building up cross-border hydrogen infrastructure in Bothnian Bay region and an open hydrogen market by 2030.,https://gasgrid.fi/en/development/participation-in-developing-the-national-hydrogen-infrastructure/,,PCI,FI,,
335,H2 Coastlink 5,Without project developer,New,Transmission,2030,100,Huntorf-Bremerhaven,No data available,No data available,"This approx. 50 km pipeline has so far remained without a project carrier. Connecting Huntorf storage facility with the Wesermarsch & Bremerhaven, enabling introduction of potential import terminal in Bremerhaven & access to H2 for large-scale industry.",https://gtg-nord.de/en/wasserstoffnetz-en/,,No,UNKNOWN,,
338,Baltic Sea Hydrogen Collector - Offshore Pipeline [BHC Section B: Sweden - Finland],"Gasgrid Vetyverkot Oy , GASCADE Gastransport GmbH, Copenhagen Energy Islands AS ",New,Transmission,2034,100,No data available,315,330,BHC is an offshore pipeline system connecting the Nordics to Central Europe. The project will help unlock the substantial potential for green hydrogen production in the region and help reduce the dependency on fossil fuels and energy imports.,https://balticseahydrogencollector.com/,,PCI,,,
340,HyNet North West Hydrogen Pipeline,Cadent Gas Limited,New,Transmission,2027,100,"Pipeline to connect indutrial clusters between Manchester and Liverpool (Warrington, Runcorn, Northwich)",No data available,No data available,Cadent’s HyNet North West Hydrogen Pipeline includes 100 kilometres (around 62 miles) of new underground pipeline that will safely transport low carbon hydrogen produced by EET Hydrogen at the Stanlow Manufacturing Complex to various industrial offtakers,https://www.hynethydrogenpipeline.co.uk/,,No,GB,,
